,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
0,Nicholas Abruzzese,22,TOR,C,9,69,72,48.9,-2.8,46,59,43.8,-8.9,5.7,92.5,98.2,46.3,53.7,10:13,9:11,0,3,0.2,12,66.7
1,Noel Acciari,30,FLA,C,20,204,165,55.3,-1.5,150,119,55.8,-0.2,9.6,89.4,99.1,52.0,48.0,11:59,10:38,8,6,2.7,52,61.5
2,Calen Addison,21,MIN,D,15,199,150,57.0,6.3,144,119,54.8,4.2,9.7,84.7,94.4,50.5,49.5,13:47,12:16,0,1,3.0,36,47.2
3,Andrew Agozzino,31,OTT,LW,1,8,4,66.7,26.7,5,2,71.4,29.1,0.0,100.0,100.0,50.0,50.0,6:52,6:52,0,0,-0.2,1,100.0
4,Jack Ahcan,24,BOS,D,6,93,70,57.1,5.3,69,52,57.0,3.7,0.0,92.1,92.1,59.2,40.8,16:02,15:29,1,4,1.2,14,35.7
5,Sebastian Aho,24,CAR,F,79,1163,965,54.7,-1.6,878,771,53.2,-2.9,11.4,90.5,101.8,57.9,42.1,18:57,14:03,68,56,7.4,402,55.0
6,Alexander Alexeyev,22,WSH,D,1,9,12,42.9,-5.4,6,7,46.2,-1.5,0.0,100.0,100.0,60.0,40.0,10:35,10:07,0,0,0.5,1,0.0
7,Wade Allison,24,PHI,RW,1,8,5,61.5,13.1,6,4,60.0,12.0,0.0,66.7,66.7,66.7,33.3,8:16,7:05,1,1,-0.1,2,100.0
8,Michael Amadio,25,TOT,C,56,684,566,54.7,1.2,502,395,56.0,1.6,7.9,90.2,98.2,51.2,48.8,12:10,11:55,26,11,4.3,109,58.7
9,Joey Anderson,23,TOR,RW,5,45,32,58.4,5.5,31,28,52.5,-1.4,3.8,93.8,97.6,75.0,25.0,8:46,8:43,2,0,2.0,15,66.7
10,Josh Anderson,27,MTL,RW,69,913,1018,47.3,0.6,677,767,46.9,0.9,9.2,88.4,97.6,47.4,52.6,17:14,15:03,33,31,-10.0,283,53.7
11,Michael Anderson,22,LAK,D,57,980,841,53.8,0.0,762,645,54.2,-0.7,8.7,90.7,99.4,50.3,49.7,20:07,18:05,10,26,5.5,133,43.6
12,Jaret Anderson-Dolan,22,LAK,C,7,77,68,53.1,-2.4,55,54,50.5,-6.6,0.0,90.0,90.0,52.2,47.8,13:47,12:55,2,2,0.1,17,29.4
13,Lias Andersson,23,LAK,C,20,184,206,47.2,-6.1,138,157,46.8,-8.3,2.9,90.8,93.8,59.1,40.9,10:37,9:49,2,5,-1.7,38,76.3
14,Rasmus Andersson,25,CGY,D,82,1544,1263,55.0,-0.6,1219,989,55.2,0.3,10.1,90.8,100.9,53.5,46.5,22:40,17:57,24,44,24.0,289,52.6
15,Andy Andreoff,30,NYI,LW,6,40,59,40.4,-8.4,27,38,41.5,-4.2,6.3,91.7,97.9,53.3,46.7,9:59,9:49,1,3,-1.9,9,66.7
16,Anthony Angello,25,PIT,C,4,16,20,44.4,-13.5,11,14,44.0,-12.7,11.1,90.0,101.1,57.1,42.9,6:38,6:38,0,0,-0.2,2,100.0
17,Mason Appleton,26,TOT,C,68,803,818,49.5,0.2,596,617,49.1,-0.1,9.0,91.4,100.3,37.0,63.0,14:53,13:34,15,13,-6.4,171,57.3
18,Josh Archibald,29,EDM,RW,8,35,54,39.3,-14.1,23,45,33.8,-19.9,13.3,87.5,100.8,45.9,54.1,9:03,7:29,3,1,-1.3,9,44.4
19,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
20,Joel Armia,28,MTL,RW,60,606,637,48.8,1.3,442,480,47.9,1.5,6.1,90.7,96.8,49.4,50.6,13:43,11:29,30,28,-1.8,179,57.5
21,Viktor Arvidsson,28,LAK,LW,66,1071,833,56.3,2.3,836,607,57.9,3.3,8.6,89.2,97.8,53.7,46.3,16:59,14:20,24,16,12.2,412,55.1
22,Rasmus Asplund,24,BUF,F,80,873,781,52.8,5.7,684,610,52.9,7.1,7.8,89.8,97.6,51.2,48.8,14:17,12:27,21,23,0.9,192,67.7
23,Zach Aston-Reese,27,TOT,C,69,632,683,48.1,-2.4,485,510,48.7,-2.3,8.2,94.0,102.1,33.4,66.6,13:02,11:30,19,10,0.4,130,60.0
24,Andreas Athanasiou,27,LAK,C,28,350,347,50.2,-4.1,279,256,52.1,-3.2,11.9,91.5,103.4,51.6,48.4,15:14,13:30,15,9,0.2,123,57.7
25,Cam Atkinson,32,PHI,RW,73,918,1027,47.2,0.7,695,780,47.1,0.5,11.2,89.9,101.1,54.9,45.1,18:15,13:49,37,28,-4.8,331,65.0
26,Ronald Attard,22,PHI,D,15,209,199,51.2,4.8,148,146,50.3,2.7,10.5,87.7,98.3,52.3,47.7,16:36,14:36,6,9,-0.9,45,35.6
27,Nicolas Aube-Kubel,25,TOT,RW,74,603,643,48.4,-4.3,445,489,47.6,-4.1,8.5,94.6,103.1,38.2,61.8,9:49,9:42,17,20,2.1,152,57.2
28,Mikael Backlund,32,CGY,C,82,1195,900,57.0,2.2,907,696,56.6,2.2,8.1,92.7,100.8,49.8,50.2,17:07,13:39,55,44,12.0,355,60.3
29,Nicklas Backstrom,34,WSH,C,47,594,605,49.5,-0.7,449,448,50.1,-1.2,11.1,87.5,98.6,61.5,38.5,17:29,13:42,25,13,-3.9,121,56.2
30,Brandon Baddock,26,MTL,LW,1,4,6,40.0,0.3,2,4,33.3,-5.4,0.0,100.0,100.0,0.0,100.0,8:24,7:32,0,0,0.0,0,
31,Sven Baertschi,29,VEG,LW,1,6,17,26.1,-33.9,4,13,23.5,-41.2,0.0,90.9,90.9,71.4,28.6,13:54,13:46,0,0,-1.3,1,100.0
32,Kevin Bahl,21,NJD,D,17,211,239,46.9,-1.8,166,186,47.2,0.4,9.3,86.9,96.2,39.1,60.9,15:45,14:41,4,3,-2.3,30,53.3
33,Josh Bailey,32,NYI,C,74,850,1069,44.3,-2.4,637,777,45.0,-1.8,10.4,90.6,101.0,51.9,48.1,16:53,14:15,31,43,-6.4,156,55.8
34,Justin Bailey,26,VAN,RW,14,71,128,35.7,-18.8,51,98,34.2,-19.3,2.5,91.0,93.5,31.4,68.6,9:05,7:47,7,4,-3.3,25,64.0
35,Rudolfs Balcers,24,SJS,LW,61,751,850,46.9,2.3,554,612,47.5,1.6,9.0,90.7,99.6,42.8,57.2,15:02,13:39,35,30,-4.3,160,61.3
36,Alexander Barabanov,27,SJS,F,70,967,1113,46.5,1.3,718,817,46.8,0.0,9.7,91.0,100.7,45.8,54.2,17:11,15:18,40,30,-7.5,166,62.0
37,Ivan Barbashev,26,STL,C,81,868,1174,42.5,-6.4,661,914,42.0,-6.6,13.1,90.6,103.7,47.8,52.2,16:27,13:54,44,46,-10.5,188,59.0
38,Riley Barber,27,DET,RW,4,20,31,39.2,-2.1,12,24,33.3,-7.6,10.0,90.0,100.0,60.0,40.0,8:27,7:29,1,3,-0.8,8,50.0
39,Aleksander Barkov,26,FLA,C,67,1119,749,59.9,4.4,857,586,59.4,4.2,11.6,90.5,102.2,55.8,44.2,20:18,14:38,59,51,22.8,340,62.9
40,Alex Barre-Boulet,24,TOT,F,16,123,151,44.9,-6.0,86,116,42.6,-9.5,12.3,92.3,104.6,53.7,46.3,11:00,9:17,4,3,-3.9,28,57.1
41,Tyson Barrie,30,EDM,D,73,1086,1049,50.9,-1.8,795,846,48.4,-4.1,9.8,91.8,101.6,52.6,47.4,18:58,15:42,14,43,0.7,297,50.2
42,Justin Barron,20,TOT,D,7,92,108,46.0,3.9,71,91,43.8,1.1,9.3,89.1,98.3,42.4,57.6,17:11,15:23,2,3,-1.3,18,72.2
43,Morgan Barron,23,TOT,C,27,183,238,43.5,-5.2,154,168,47.8,-0.9,5.1,91.9,97.0,48.1,51.9,9:48,9:42,6,4,-1.9,46,71.7
44,Mathew Barzal,24,NYI,C,73,1107,1117,49.8,5.1,822,859,48.9,3.3,8.0,90.5,98.5,64.8,35.2,18:01,15:20,43,82,-1.7,252,63.9
45,Nathan Bastian,24,TOT,RW,72,614,629,49.4,-1.8,470,449,51.1,0.6,8.8,88.6,97.4,31.5,68.5,11:54,10:04,13,15,0.5,165,58.8
46,Drake Batherson,23,OTT,C,46,666,712,48.3,3.0,505,543,48.2,2.2,10.7,91.2,102.0,65.3,34.7,18:56,15:37,21,30,-1.3,189,58.7
47,Gavin Bayreuther,27,CBJ,D,43,460,501,47.9,0.0,341,395,46.3,-1.4,10.5,90.3,100.8,51.4,48.6,13:03,12:34,12,12,-4.8,85,51.8
48,Jay Beagle,36,ARI,RW/C,33,270,389,41.0,-5.8,206,294,41.2,-5.0,3.2,88.9,92.1,31.4,68.6,13:47,11:36,9,7,-9.2,40,60.0
49,Jake Bean,23,CBJ,D,67,1098,1183,48.1,-0.2,814,949,46.2,-1.1,9.7,91.4,101.1,52.3,47.7,20:34,18:21,21,23,-17.5,209,43.1
50,Ethan Bear,24,CAR,D,58,884,680,56.5,1.5,692,533,56.5,2.0,8.1,90.8,98.9,56.2,43.8,16:05,14:34,16,28,4.3,186,52.2
51,Nicolas Beaudin,22,CHI,D,2,10,10,50.0,1.4,4,8,33.3,-13.0,0.0,83.3,83.3,100.0,0.0,6:10,6:10,0,0,-0.6,1,100.0
52,Nathan Beaulieu,29,WPG,D,24,157,219,41.8,-8.3,122,165,42.5,-6.9,6.2,89.9,96.1,47.6,52.4,10:46,8:46,0,17,-4.9,52,46.2
53,Anthony Beauvillier,24,NYI,LW,75,967,1116,46.4,0.5,703,860,45.0,-1.7,8.7,91.5,100.2,53.6,46.4,16:50,14:43,36,54,-8.2,252,61.1
54,Adam Beckman,20,MIN,LW,3,33,31,51.6,-9.2,22,23,48.9,-10.0,5.0,88.9,93.9,42.1,57.9,10:25,9:37,1,2,-0.7,6,66.7
55,Pierre-Edouard Bellemare,36,TBL,LW,80,697,745,48.3,-3.1,537,567,48.6,-3.1,10.6,95.3,105.9,38.6,61.4,13:45,11:08,26,18,2.0,129,55.8
56,Kieffer Bellows,23,NYI,LW,45,437,495,46.9,-0.6,320,373,46.2,-1.6,9.4,92.1,101.6,54.6,45.4,11:52,11:23,6,26,-2.7,147,54.4
57,Alex Belzile,30,MTL,F,11,83,77,51.9,0.2,60,63,48.8,-1.3,5.9,93.6,99.5,43.1,56.9,10:24,8:59,3,5,0.2,19,68.4
58,Emil Bemstrom,22,CBJ,C,41,343,337,50.4,3.4,267,259,50.8,5.2,8.5,91.5,100.0,52.3,47.7,10:31,9:25,11,5,-1.1,105,59.0
59,Matthew Beniers,19,SEA,C,10,109,123,47.0,-7.3,85,89,48.9,-6.3,11.7,86.4,98.1,63.1,36.9,16:56,13:57,6,5,-1.3,36,50.0
60,Jamie Benn,32,DAL,LW,82,1044,1207,46.4,-3.7,759,905,45.6,-4.9,8.8,90.8,99.6,48.3,51.7,16:45,13:58,37,47,-5.5,317,57.4
61,Jordie Benn,34,MIN,D,39,462,547,45.8,-5.0,340,415,45.0,-6.2,11.7,90.6,102.3,48.9,51.1,14:59,14:05,6,15,-1.4,77,48.1
62,Sam Bennett,25,FLA,C,71,1059,794,57.2,0.0,816,622,56.7,-0.2,11.0,91.1,102.1,70.7,29.3,16:57,13:57,41,49,16.4,398,60.6
63,Matt Benning,27,NSH,D,65,752,808,48.2,-1.2,587,619,48.7,-1.2,7.1,88.4,95.5,36.9,63.1,16:20,14:06,8,33,-7.4,114,53.5
64,Simon Benoit,23,ANA,D,53,579,685,45.8,-2.3,438,523,45.6,-2.0,7.6,92.3,99.9,46.6,53.4,14:06,13:20,7,21,-3.9,87,51.7
65,Tyler Benson,23,EDM,LW,29,236,206,53.4,2.3,173,157,52.4,2.0,4.6,91.1,95.6,50.0,50.0,8:32,8:23,3,6,-0.5,35,51.4
66,Patrice Bergeron,36,BOS,C,73,1227,686,64.1,13.7,977,518,65.4,13.8,7.6,91.6,99.2,59.1,40.9,18:10,13:26,37,21,29.3,427,68.6
67,Jacob Bernard-Docker,21,OTT,D,8,101,105,49.0,2.0,70,76,47.9,0.1,12.8,92.1,104.8,53.2,46.8,14:46,14:38,2,2,-1.6,12,50.0
68,Tyler Bertuzzi,26,DET,LW,68,1025,1049,49.4,4.3,779,833,48.3,3.2,10.9,88.2,99.1,52.4,47.6,19:52,16:11,42,57,-0.6,306,58.8
69,Alex Biega,33,TOR,D,2,19,20,48.7,-11.4,16,15,51.6,-8.2,0.0,83.3,83.3,69.2,30.8,13:07,12:48,0,1,-0.2,4,50.0
70,Brandon Biro,23,BUF,F,1,13,6,68.4,18.4,9,5,64.3,20.6,0.0,100.0,100.0,50.0,50.0,13:30,11:43,0,0,0.0,2,0.0
71,Clark Bishop,25,OTT,C,9,60,72,45.5,-4.0,46,52,46.9,-1.0,3.6,89.5,93.0,41.7,58.3,8:21,8:05,0,2,-1.7,22,36.4
72,Anders Bjork,25,BUF,LW,58,465,621,42.8,-6.9,334,484,40.8,-8.2,6.9,91.5,98.4,43.4,56.6,12:02,11:24,16,11,-11.1,93,54.8
73,Kasper Bjorkqvist,24,PIT,RW,6,39,32,54.9,0.4,29,27,51.8,-2.0,3.8,89.5,93.3,39.3,60.7,8:22,7:21,0,0,0.3,11,72.7
74,Oliver Bjorkstrand,26,CBJ,RW,80,1136,1114,50.5,3.3,854,877,49.3,3.2,8.5,87.7,96.1,50.2,49.8,17:57,14:46,57,33,-8.5,402,53.5
75,Tobias Bjornfot,20,LAK,D,70,951,975,49.4,-6.0,732,750,49.4,-7.0,6.9,90.9,97.8,48.8,51.2,16:46,15:36,10,30,-9.8,110,48.2
76,Nick Bjugstad,29,MIN,C,57,484,513,48.5,-3.7,377,401,48.5,-3.7,8.1,91.0,99.1,41.0,59.0,10:16,10:05,18,13,1.6,130,63.1
77,Colin Blackwell,28,TOT,C,58,527,537,49.5,-2.4,385,404,48.8,-3.3,8.6,90.1,98.7,46.1,53.9,11:56,10:37,18,17,0.3,126,61.1
78,Sammy Blais,25,NYR,LW,14,137,173,44.2,2.0,101,130,43.7,1.5,10.3,95.0,105.3,46.2,53.8,13:28,12:15,2,4,-1.3,33,51.5
79,Nick Blankenburg,23,CBJ,D,7,107,99,51.9,0.1,75,73,50.7,2.0,3.8,91.2,95.1,50.8,49.2,17:34,16:17,1,0,-0.8,24,54.2
80,Anton Blidh,26,BOS,LW,32,186,290,39.1,-12.8,138,216,39.0,-14.1,9.4,91.0,100.4,31.7,68.3,10:44,9:50,6,6,-2.0,46,60.9
81,Teddy Blueger,27,PIT,C,65,672,719,48.3,-4.1,535,543,49.6,-3.6,9.8,92.6,102.4,28.8,71.2,15:01,12:41,37,22,-1.3,134,69.4
82,Brock Boeser,24,VAN,RW,71,1121,940,54.4,5.8,820,715,53.4,4.5,7.8,91.1,98.9,60.8,39.2,18:34,15:27,33,21,0.5,391,49.9
83,Zach Bogosian,31,TBL,D,48,573,651,46.8,-4.8,451,511,46.9,-5.2,7.4,94.5,101.8,47.4,52.6,15:22,14:56,7,16,-4.5,108,55.6
84,Matt Boldy,20,MIN,LW,47,594,562,51.4,-0.4,461,427,51.9,-0.1,12.9,91.1,103.9,55.1,44.9,15:23,13:01,27,22,9.8,197,57.4
85,Nick Bonino,33,SJS,C,80,760,1129,40.2,-6.7,580,786,42.5,-5.2,8.7,89.0,97.7,36.7,63.3,16:42,13:14,50,15,-12.2,211,64.9
86,Adam Boqvist,21,CBJ,D,52,743,786,48.6,1.7,566,630,47.3,1.4,10.0,88.8,98.8,59.4,40.6,17:03,15:03,11,28,-7.4,130,49.2
87,Jesper Boqvist,23,NJD,C,56,622,662,48.4,-1.3,480,523,47.9,-1.8,8.0,91.1,99.1,47.8,52.2,13:08,12:27,18,23,-1.1,135,54.8
88,Thomas Bordeleau,20,SJS,C,8,107,116,48.0,2.1,81,73,52.6,6.2,13.7,84.3,98.0,52.6,47.4,15:35,13:56,9,8,-0.1,25,52.0
89,William Borgen,25,SEA,D,36,451,416,52.0,1.1,343,320,51.7,1.7,6.3,93.1,99.4,53.2,46.8,15:17,14:24,4,14,2.0,97,50.5
90,Henrik Borgström,24,CHI,C,52,409,446,47.8,1.6,276,310,47.1,1.1,5.2,89.1,94.3,39.7,60.3,10:31,9:48,22,8,-1.2,85,48.2
91,Mark Borowiecki,32,NSH,D,57,531,592,47.3,-2.7,421,440,48.9,-0.8,7.2,90.7,97.9,38.9,61.1,13:07,11:18,7,14,-3.7,91,49.5
92,Robert Bortuzzo,32,STL,D,73,684,770,47.0,0.0,530,582,47.7,1.4,7.1,91.8,98.9,46.9,53.1,13:44,11:36,8,20,-0.1,87,54.0
93,Evan Bouchard,22,EDM,D,81,1479,1210,55.0,4.1,1105,913,54.8,4.9,8.8,90.5,99.3,55.0,45.0,19:48,16:48,37,79,1.5,400,51.3
94,Madison Bowey,26,VAN,D,2,19,35,35.2,-20.8,13,27,32.5,-22.0,0.0,83.3,83.3,41.7,58.3,15:44,13:31,0,0,-0.8,3,0.0
95,Travis Boyd,28,ARI,C,74,811,1072,43.1,-1.1,623,794,44.0,0.8,14.2,88.5,102.6,44.9,55.1,16:31,14:13,20,28,-15.1,155,56.8
96,Brian Boyle,37,PIT,C,66,508,536,48.7,-3.4,402,391,50.7,-1.7,8.6,92.9,101.5,30.6,69.4,10:47,8:50,20,10,0.6,122,71.3
97,Tyler Bozak,35,STL,C,50,413,494,45.5,-2.5,317,380,45.5,-2.0,5.1,89.5,94.6,46.4,53.6,12:10,10:28,20,13,-3.2,73,63.0
98,Erik Brannstrom,22,OTT,D,53,850,817,51.0,3.7,636,633,50.1,2.6,5.9,90.8,96.7,58.4,41.6,19:46,16:52,10,36,-8.8,168,51.2
99,Derick Brassard,34,TOT,C,46,450,497,47.5,-0.6,328,383,46.1,-2.2,10.5,93.3,103.8,50.3,49.7,12:55,11:21,10,10,0.6,91,68.1
100,Jesper Bratt,23,NJD,W,76,1207,1025,54.1,4.4,953,780,55.0,6.1,10.1,88.8,98.8,59.3,40.7,17:26,14:40,29,46,16.4,324,60.8
101,Justin Braun,34,TOT,D,69,951,1100,46.4,-2.2,699,807,46.4,-1.7,8.3,92.4,100.8,40.9,59.1,19:33,17:19,16,32,-6.5,160,45.6
102,Bobby Brink,20,PHI,RW,10,102,109,48.3,0.3,76,83,47.8,-0.6,7.0,87.5,94.5,69.9,30.1,15:27,12:25,1,4,-1.4,31,58.1
103,Guillaume Brisebois,24,VAN,D,1,1,4,20.0,-28.9,1,3,25.0,-21.4,0.0,66.7,66.7,50.0,50.0,4:13,4:13,0,0,-0.1,0,
104,Philip Broberg,20,EDM,D,23,242,222,52.2,1.3,191,185,50.8,0.6,7.2,86.6,93.8,48.6,51.4,13:28,12:21,5,14,-2.3,60,48.3
105,T.J. Brodie,31,TOR,D,82,1461,1339,52.2,-1.7,1119,1046,51.7,-1.9,9.6,91.3,100.9,52.4,47.6,21:19,18:51,30,62,17.0,158,43.0
106,Jonas Brodin,28,MIN,D,73,1349,1231,52.3,1.6,1016,930,52.2,1.1,10.0,90.1,100.1,52.3,47.7,23:26,19:16,24,28,17.4,232,54.3
107,Jonny Brodzinski,28,NYR,C,22,182,188,49.2,1.4,143,138,50.9,3.0,5.1,95.8,100.9,48.9,51.1,10:51,9:57,5,4,-1.0,52,65.4
108,Adam Brooks,25,TOT,C,25,164,189,46.5,-3.0,120,139,46.3,-3.3,5.7,96.7,102.4,47.9,52.1,8:57,8:35,3,3,1.1,21,66.7
109,Connor Brown,28,OTT,RW,64,926,904,50.6,4.5,687,674,50.5,4.1,8.2,87.7,95.9,46.7,53.3,20:03,15:21,51,50,-0.2,235,51.5
110,Dustin Brown,37,LAK,RW,64,737,699,51.3,-3.7,583,537,52.1,-4.3,7.0,92.3,99.3,53.6,46.4,14:44,12:37,13,19,-3.1,238,61.3
111,Josh Brown,28,TOT,D,52,553,641,46.3,-4.9,423,481,46.8,-4.4,6.8,91.8,98.6,47.9,52.1,14:13,12:23,9,22,-4.7,87,51.7
112,Logan Brown,23,STL,C,39,308,362,46.0,1.3,247,285,46.4,2.1,6.7,92.8,99.5,45.3,54.7,10:11,9:45,7,13,0.5,56,60.7
113,Patrick Brown,29,PHI,C,44,369,494,42.8,-4.9,279,352,44.2,-3.0,6.7,87.8,94.5,24.2,75.8,12:26,10:40,9,14,-6.3,83,61.4
114,Jacob Bryson,24,BUF,D,73,964,1025,48.5,-0.7,737,811,47.6,-0.6,9.1,90.0,99.0,47.6,52.4,18:20,16:37,24,25,-5.5,85,50.6
115,Pavel Buchnevich,26,STL,LW,73,1002,935,51.7,6.0,801,742,51.9,6.7,12.8,91.0,103.8,53.2,46.8,18:18,14:26,46,41,8.2,304,65.5
116,Connor Bunnaman,23,PHI,F,15,97,124,43.9,-5.5,78,93,45.6,-3.7,1.8,88.6,90.4,32.4,67.6,10:01,9:41,0,2,-1.3,17,58.8
117,Michael Bunting,26,TOR,LW,79,1250,950,56.8,4.9,939,735,56.1,4.5,13.4,88.3,101.7,58.4,41.6,15:33,14:13,36,23,21.3,296,59.1
118,Andre Burakovsky,26,COL,LW,80,1274,1026,55.4,3.7,934,791,54.1,3.3,11.0,89.4,100.5,57.1,42.9,16:16,14:11,28,39,6.0,313,47.6
119,Brent Burns,36,SJS,D/RW,82,1474,1775,45.4,-0.5,1117,1269,46.8,0.0,10.6,89.7,100.3,43.8,56.2,26:09,20:45,68,97,-9.2,446,45.5
120,Kyle Burroughs,26,VAN,D,42,439,470,48.3,-2.0,300,334,47.3,-3.2,6.8,93.1,99.9,44.4,55.6,12:56,12:21,7,7,-5.5,83,47.0
121,Will Butcher,27,BUF,D,37,476,490,49.3,2.2,368,389,48.6,2.5,6.6,90.5,97.1,63.3,36.7,16:29,15:43,1,10,-2.5,78,44.9
122,Quinton Byfield,19,LAK,C,40,378,380,49.9,-5.6,296,286,50.9,-4.7,6.6,91.2,97.8,60.9,39.1,12:09,11:32,15,14,-3.1,77,51.9
123,Bowen Byram,20,COL,D,30,537,469,53.4,3.0,389,359,52.0,2.5,10.8,90.9,101.6,56.0,44.0,18:48,17:33,14,11,3.6,102,48.0
124,Paul Byron,32,MTL,LW,27,244,303,44.6,-3.0,173,236,42.3,-5.6,6.5,89.9,96.4,43.8,56.2,12:36,10:53,9,15,-4.4,43,76.7
125,Drake Caggiula,27,BUF,LW,18,170,191,47.1,-0.8,126,151,45.5,-2.6,10.0,89.2,99.2,45.1,54.9,14:38,12:53,6,2,-5.1,37,62.2
126,Kyle Capobianco,24,ARI,D,45,547,681,44.5,0.4,421,538,43.9,0.8,9.9,89.9,99.7,50.5,49.5,16:00,15:16,16,31,-11.4,85,47.1
127,Michael Carcone,25,ARI,F,21,219,243,47.4,4.7,168,190,46.9,5.0,5.6,88.8,94.5,46.5,53.5,12:19,12:02,8,9,-1.7,64,56.3
128,Brandon Carlo,25,BOS,D,79,1213,1134,51.7,-4.1,960,869,52.5,-4.6,6.8,92.2,98.9,46.8,53.2,19:42,16:53,32,25,8.6,213,58.7
129,John Carlson,32,WSH,D,78,1353,1299,51.0,0.8,1054,976,51.9,0.7,11.0,90.1,101.0,56.9,43.1,23:49,18:06,42,55,1.4,388,50.3
130,Gabriel Carlsson,25,CBJ,D,38,379,412,47.9,0.6,282,318,47.0,0.5,11.3,92.7,104.0,55.6,44.4,12:16,11:32,7,4,-4.2,38,47.4
131,Lucas Carlsson,24,FLA,D,40,513,416,55.2,-1.7,382,321,54.3,-2.2,8.4,91.2,99.7,62.2,37.8,12:43,12:30,7,12,7.0,85,48.2
132,Ryan Carpenter,31,TOT,C,67,555,601,48.0,0.2,399,436,47.8,-0.2,6.2,91.5,97.7,26.8,73.2,12:35,10:17,19,11,-6.0,117,57.3
133,Sam Carrick,29,ANA,C,64,566,664,46.0,-2.5,428,502,46.0,-2.7,7.1,90.7,97.8,44.3,55.7,11:28,10:28,14,14,-5.8,139,57.6
134,Alexandre Carrier,25,NSH,D,77,1120,1248,47.3,-3.1,871,945,48.0,-2.7,9.9,94.7,104.6,43.9,56.1,20:59,17:07,27,39,-3.0,188,50.5
135,William Carrier,27,VEG,LW,63,772,611,55.8,3.2,588,434,57.5,4.3,8.2,90.9,99.1,51.2,48.8,11:37,11:23,24,12,10.0,194,61.9
136,Jeff Carter,37,PIT,C,76,932,1044,47.2,-6.1,726,780,48.2,-5.8,10.1,90.0,100.1,40.7,59.3,17:40,14:12,33,39,-2.3,315,63.5
137,Jackson Cates,24,PHI,C,11,71,104,40.6,-9.6,56,78,41.8,-6.9,8.3,90.2,98.5,37.7,62.3,9:05,8:34,2,0,-1.8,13,61.5
138,Noah Cates,22,PHI,LW,16,177,175,50.3,3.2,134,126,51.5,4.3,10.8,92.2,103.0,52.3,47.7,13:15,12:02,10,3,1.5,43,53.5
139,Cole Caufield,21,MTL,RW,67,821,895,47.8,1.7,619,691,47.3,1.6,10.7,87.1,97.8,56.0,44.0,16:41,13:48,32,27,-9.7,327,57.5
140,Cody Ceci,28,EDM,D,78,1313,1276,50.7,-2.8,983,978,50.1,-2.5,9.7,91.0,100.6,45.0,55.0,20:54,18:17,15,39,5.7,213,47.9
141,Erik Cernak,24,TBL,D,55,807,725,52.7,2.4,619,542,53.3,2.7,10.0,90.5,100.6,41.4,58.6,19:09,16:15,21,17,2.9,176,48.9
142,Thomas Chabot,25,OTT,D,59,1278,1267,50.2,5.3,950,934,50.4,4.8,9.5,89.9,99.5,57.8,42.2,26:12,22:31,29,68,-1.5,330,52.4
143,Mitchell Chaffee,24,MIN,F,2,13,9,59.1,7.6,11,6,64.7,13.0,11.1,100.0,111.1,75.0,25.0,7:27,7:27,0,0,0.1,2,50.0
144,Zdeno Chara,44,NYI,D,72,966,1259,43.4,-4.4,739,925,44.4,-3.5,9.8,93.3,103.1,48.5,51.5,18:44,16:56,14,45,-7.5,172,47.1
145,Jalen Chatfield,25,CAR,D,16,228,161,58.6,0.8,171,125,57.8,-0.1,5.4,93.5,99.0,60.1,39.9,14:47,14:24,6,3,4.2,51,49.0
146,Ben Chiarot,30,TOT,D,74,1302,1341,49.3,-1.6,982,1032,48.8,-1.4,8.0,89.9,97.9,44.7,55.3,22:51,18:53,20,69,-2.2,268,53.4
147,Alex Chiasson,31,VAN,RW,67,565,594,48.7,-1.7,412,439,48.4,-1.8,9.3,92.6,101.9,51.3,48.7,11:37,9:44,7,10,-0.5,140,70.0
148,Yegor Chinakhov,20,CBJ,RW,62,587,657,47.2,-0.4,424,526,44.6,-2.4,7.6,88.0,95.6,51.8,48.2,12:30,11:15,19,19,-14.0,189,51.9
149,Declan Chisholm,22,WPG,D,2,29,18,61.7,8.7,19,14,57.6,6.1,7.1,100.0,107.1,50.0,50.0,12:57,12:56,1,1,0.7,9,44.4
150,Sasha Chmelevski,22,SJS,C,19,208,216,49.1,2.6,155,158,49.5,1.8,8.0,94.6,102.6,38.0,62.0,13:11,12:27,8,3,-0.6,60,51.7
151,Dennis Cholowski,23,TOT,D,11,154,161,48.9,-3.9,114,129,46.9,-6.0,13.3,85.7,99.0,54.0,46.0,15:49,14:46,1,5,-2.2,33,33.3
152,Jake Christiansen,22,CBJ,D,8,52,82,38.8,-8.9,40,62,39.2,-9.3,12.0,95.7,107.7,67.6,32.4,9:46,9:36,0,0,-1.6,11,36.4
153,Jakob Chychrun,23,ARI,D,47,763,850,47.3,3.5,576,644,47.2,3.9,9.1,88.4,97.5,44.1,55.9,22:60,19:21,19,37,-8.9,293,48.1
